id,digit
2049,2
2050,2
2051,6
2052,2
2053,2
2054,2
2055,3
2056,2
2057,4
2058,4
2059,4
2060,2
2061,2
2062,2
2063,6
2064,4
2065,2
2066,2
2067,2
2068,4
2069,2
2070,4
2071,4
2072,2
2073,3
2074,2
2075,2
2076,4
2077,2
2078,2
2079,2
2080,2
2081,0
2082,2
2083,5
2084,4
2085,4
2086,2
2087,6
2088,4
2089,2
2090,2
2091,8
2092,4
2093,2
2094,3
2095,2
2096,4
2097,2
2098,4
2099,8
2100,2
2101,4
2102,2
2103,6
2104,2
2105,4
2106,2
2107,2
2108,4
2109,2
2110,2
2111,2
2112,4
2113,2
2114,2
2115,4
2116,2
2117,4
2118,2
2119,6
2120,0
2121,2
2122,4
2123,2
2124,2
2125,2
2126,2
2127,1
2128,2
2129,2
2130,4
2131,4
2132,4
2133,2
2134,4
2135,4
2136,2
2137,2
2138,2
2139,2
2140,4
2141,4
2142,4
2143,4
2144,3
2145,4
2146,2
2147,2
2148,2
2149,2
2150,0
2151,6
2152,2
2153,2
2154,4
2155,2
2156,4
2157,4
2158,2
2159,2
2160,2
2161,3
2162,4
2163,4
2164,6
2165,2
2166,2
2167,4
2168,2
2169,2
2170,6
2171,4
2172,2
2173,6
2174,4
2175,0
2176,2
2177,2
2178,2
2179,2
2180,2
2181,4
2182,2
2183,6
2184,4
2185,2
2186,2
2187,4
2188,4
2189,3
2190,2
2191,4
2192,2
2193,6
2194,5
2195,3
2196,2
2197,2
2198,4
2199,2
2200,6
2201,6
2202,4
2203,0
2204,2
2205,4
2206,2
2207,2
2208,4
2209,6
2210,0
2211,2
2212,6
2213,2
2214,4
2215,2
2216,4
2217,4
2218,2
2219,0
2220,2
2221,4
2222,4
2223,6
2224,2
2225,4
2226,4
2227,3
2228,2
2229,4
2230,2
2231,4
2232,5
2233,4
2234,4
2235,4
2236,4
2237,2
2238,4
2239,3
2240,4
2241,0
2242,2
2243,2
2244,2
2245,4
2246,2
2247,2
2248,4
2249,2
2250,5
2251,6
2252,2
2253,4
2254,6
2255,4
2256,4
2257,0
2258,2
2259,4
2260,2
2261,2
2262,2
2263,2
2264,0
2265,2
2266,2
2267,0
2268,2
2269,2
2270,2
2271,4
2272,9
2273,4
2274,4
2275,1
2276,2
2277,2
2278,0
2279,4
2280,4
2281,0
2282,4
2283,4
2284,2
2285,4
2286,2
2287,2
2288,4
2289,5
2290,4
2291,4
2292,3
2293,4
2294,0
2295,2
2296,4
2297,6
2298,2
2299,2
2300,7
2301,2
2302,2
2303,3
2304,2
2305,2
2306,4
2307,2
2308,4
2309,2
2310,4
2311,5
2312,5
2313,0
2314,4
2315,4
2316,4
2317,4
2318,2
2319,6
2320,5
2321,6
2322,4
2323,4
2324,2
2325,2
2326,4
2327,2
2328,4
2329,4
2330,2
2331,2
2332,2
2333,4
2334,4
2335,2
2336,2
2337,2
2338,2
2339,6
2340,2
2341,2
2342,0
2343,2
2344,2
2345,4
2346,4
2347,2
2348,2
2349,2
2350,3
2351,4
2352,2
2353,4
2354,6
2355,6
2356,2
2357,6
2358,2
2359,2
2360,4
2361,2
2362,4
2363,2
2364,2
2365,2
2366,4
2367,2
2368,4
2369,4
2370,4
2371,2
2372,2
2373,2
2374,4
2375,4
2376,0
2377,2
2378,4
2379,2
2380,4
2381,4
2382,4
2383,4
2384,0
2385,2
2386,6
2387,6
2388,2
2389,2
2390,2
2391,2
2392,2
2393,4
2394,2
2395,4
2396,2
2397,2
2398,4
2399,2
2400,2
2401,2
2402,2
2403,4
2404,6
2405,9
2406,3
2407,2
2408,2
2409,4
2410,2
2411,3
2412,3
2413,2
2414,0
2415,6
2416,2
2417,2
2418,4
2419,2
2420,2
2421,2
2422,2
2423,2
2424,2
2425,6
2426,5
2427,2
2428,2
2429,2
2430,4
2431,2
2432,7
2433,2
2434,4
2435,4
2436,0
2437,9
2438,5
2439,4
2440,2
2441,0
2442,6
2443,2
2444,3
2445,2
2446,4
2447,2
2448,2
2449,4
2450,2
2451,3
2452,2
2453,2
2454,4
2455,6
2456,4
2457,2
2458,4
2459,6
2460,5
2461,2
2462,2
2463,2
2464,2
2465,2
2466,7
2467,4
2468,4
2469,3
2470,3
2471,4
2472,2
2473,3
2474,2
2475,9
2476,2
2477,4
2478,2
2479,2
2480,4
2481,2
2482,6
2483,4
2484,4
2485,4
2486,4
2487,2
2488,2
2489,6
2490,3
2491,2
2492,2
2493,4
2494,2
2495,2
2496,2
2497,6
2498,2
2499,2
2500,2
2501,2
2502,2
2503,4
2504,2
2505,2
2506,2
2507,4
2508,4
2509,2
2510,4
2511,5
2512,4
2513,4
2514,4
2515,2
2516,2
2517,2
2518,2
2519,4
2520,4
2521,4
2522,2
2523,4
2524,2
2525,2
2526,5
2527,2
2528,2
2529,4
2530,4
2531,3
2532,2
2533,2
2534,4
2535,4
2536,4
2537,0
2538,4
2539,9
2540,4
2541,2
2542,2
2543,0
2544,4
2545,2
2546,3
2547,2
2548,4
2549,2
2550,2
2551,2
2552,2
2553,2
2554,2
2555,4
2556,3
2557,0
2558,5
2559,0
2560,4
2561,2
2562,5
2563,2
2564,6
2565,2
2566,2
2567,2
2568,2
2569,4
2570,2
2571,6
2572,6
2573,2
2574,4
2575,5
2576,2
2577,3
2578,6
2579,3
2580,2
2581,2
2582,2
2583,4
2584,4
2585,2
2586,3
2587,2
2588,2
2589,0
2590,4
2591,6
2592,2
2593,6
2594,4
2595,2
2596,4
2597,3
2598,5
2599,0
2600,0
2601,2
2602,2
2603,4
2604,2
2605,4
2606,4
2607,2
2608,4
2609,2
2610,2
2611,2
2612,6
2613,4
2614,2
2615,4
2616,2
2617,2
2618,2
2619,2
2620,2
2621,4
2622,4
2623,2
2624,4
2625,2
2626,5
2627,6
2628,2
2629,4
2630,3
2631,4
2632,4
2633,2
2634,2
2635,6
2636,4
2637,3
2638,4
2639,4
2640,4
2641,2
2642,4
2643,2
2644,4
2645,4
2646,2
2647,2
2648,3
2649,2
2650,4
2651,3
2652,4
2653,4
2654,6
2655,0
2656,2
2657,9
2658,2
2659,0
2660,2
2661,4
2662,2
2663,4
2664,2
2665,2
2666,4
2667,2
2668,2
2669,2
2670,3
2671,5
2672,6
2673,2
2674,2
2675,2
2676,4
2677,4
2678,2
2679,2
2680,4
2681,4
2682,5
2683,4
2684,9
2685,2
2686,4
2687,6
2688,4
2689,2
2690,5
2691,4
2692,2
2693,2
2694,3
2695,0
2696,2
2697,6
2698,2
2699,2
2700,2
2701,4
2702,2
2703,4
2704,6
2705,2
2706,2
2707,0
2708,4
2709,4
2710,4
2711,4
2712,6
2713,2
2714,4
2715,0
2716,2
2717,6
2718,4
2719,4
2720,4
2721,2
2722,4
2723,2
2724,2
2725,4
2726,3
2727,2
2728,2
2729,4
2730,6
2731,0
2732,4
2733,2
2734,4
2735,4
2736,3
2737,4
2738,4
2739,3
2740,4
2741,5
2742,2
2743,4
2744,2
2745,2
2746,4
2747,0
2748,4
2749,4
2750,4
2751,2
2752,2
2753,2
2754,2
2755,2
2756,6
2757,3
2758,2
2759,3
2760,4
2761,2
2762,4
2763,2
2764,2
2765,2
2766,3
2767,4
2768,4
2769,2
2770,2
2771,2
2772,4
2773,4
2774,2
2775,2
2776,2
2777,2
2778,4
2779,4
2780,4
2781,2
2782,4
2783,2
2784,2
2785,2
2786,1
2787,4
2788,3
2789,6
2790,2
2791,6
2792,5
2793,7
2794,6
2795,4
2796,4
2797,4
2798,6
2799,2
2800,2
2801,6
2802,4
2803,6
2804,4
2805,2
2806,6
2807,6
2808,7
2809,6
2810,4
2811,4
2812,4
2813,6
2814,2
2815,3
2816,2
2817,2
2818,4
2819,2
2820,3
2821,2
2822,2
2823,4
2824,2
2825,2
2826,2
2827,6
2828,4
2829,2
2830,2
2831,4
2832,2
2833,4
2834,2
2835,2
2836,2
2837,5
2838,2
2839,2
2840,4
2841,2
2842,4
2843,4
2844,0
2845,2
2846,4
2847,4
2848,4
2849,4
2850,4
2851,2
2852,2
2853,0
2854,2
2855,4
2856,0
2857,2
2858,0
2859,2
2860,2
2861,2
2862,2
2863,2
2864,2
2865,0
2866,2
2867,9
2868,4
2869,2
2870,0
2871,4
2872,2
2873,6
2874,0
2875,4
2876,6
2877,2
2878,0
2879,4
2880,2
2881,0
2882,2
2883,6
2884,2
2885,4
2886,2
2887,4
2888,2
2889,4
2890,2
2891,9
2892,2
2893,2
2894,3
2895,2
2896,2
2897,2
2898,6
2899,4
2900,2
2901,2
2902,2
2903,5
2904,2
2905,4
2906,2
2907,3
2908,4
2909,4
2910,4
2911,4
2912,4
2913,4
2914,4
2915,2
2916,0
2917,4
2918,2
2919,4
2920,2
2921,4
2922,6
2923,2
2924,2
2925,2
2926,2
2927,4
2928,4
2929,2
2930,2
2931,2
2932,4
2933,4
2934,2
2935,6
2936,4
2937,2
2938,0
2939,6
2940,2
2941,6
2942,2
2943,2
2944,2
2945,2
2946,4
2947,4
2948,2
2949,2
2950,4
2951,6
2952,0
2953,2
2954,6
2955,3
2956,4
2957,0
2958,2
2959,4
2960,4
2961,4
2962,2
2963,4
2964,2
2965,0
2966,2
2967,7
2968,3
2969,4
2970,2
2971,0
2972,4
2973,3
2974,2
2975,2
2976,3
2977,3
2978,2
2979,2
2980,5
2981,2
2982,2
2983,2
2984,2
2985,2
2986,4
2987,4
2988,2
2989,2
2990,4
2991,3
2992,2
2993,2
2994,2
2995,2
2996,2
2997,4
2998,4
2999,2
3000,4
3001,2
3002,2
3003,6
3004,2
3005,2
3006,2
3007,2
3008,4
3009,4
3010,2
3011,4
3012,4
3013,2
3014,2
3015,4
3016,4
3017,1
3018,4
3019,4
3020,2
3021,2
3022,3
3023,4
3024,5
3025,6
3026,2
3027,2
3028,2
3029,2
3030,2
3031,3
3032,3
3033,4
3034,2
3035,4
3036,4
3037,4
3038,4
3039,3
3040,2
3041,9
3042,2
3043,2
3044,2
3045,2
3046,5
3047,4
3048,4
3049,6
3050,2
3051,2
3052,2
3053,0
3054,4
3055,4
3056,2
3057,4
3058,4
3059,4
3060,7
3061,4
3062,2
3063,2
3064,4
3065,4
3066,4
3067,2
3068,2
3069,2
3070,6
3071,0
3072,2
3073,4
3074,3
3075,3
3076,0
3077,0
3078,4
3079,4
3080,7
3081,4
3082,0
3083,2
3084,2
3085,5
3086,2
3087,9
3088,2
3089,9
3090,2
3091,0
3092,3
3093,0
3094,2
3095,2
3096,2
3097,6
3098,2
3099,4
3100,2
3101,4
3102,8
3103,2
3104,7
3105,4
3106,4
3107,2
3108,2
3109,4
3110,2
3111,4
3112,2
3113,4
3114,2
3115,2
3116,4
3117,0
3118,2
3119,2
3120,2
3121,2
3122,5
3123,2
3124,0
3125,2
3126,2
3127,4
3128,2
3129,2
3130,6
3131,4
3132,0
3133,4
3134,2
3135,5
3136,2
3137,3
3138,4
3139,2
