id,digit
2049,2
2050,0
2051,5
2052,2
2053,3
2054,2
2055,5
2056,2
2057,4
2058,4
2059,7
2060,6
2061,2
2062,2
2063,6
2064,9
2065,2
2066,6
2067,2
2068,4
2069,2
2070,9
2071,2
2072,2
2073,5
2074,2
2075,2
2076,9
2077,2
2078,2
2079,2
2080,2
2081,0
2082,2
2083,5
2084,9
2085,2
2086,2
2087,6
2088,9
2089,2
2090,2
2091,8
2092,4
2093,2
2094,2
2095,2
2096,2
2097,2
2098,2
2099,6
2100,2
2101,2
2102,2
2103,6
2104,2
2105,2
2106,2
2107,2
2108,5
2109,2
2110,2
2111,2
2112,9
2113,2
2114,2
2115,2
2116,2
2117,0
2118,2
2119,6
2120,0
2121,2
2122,6
2123,2
2124,7
2125,2
2126,9
2127,2
2128,2
2129,2
2130,4
2131,4
2132,2
2133,6
2134,2
2135,2
2136,2
2137,2
2138,0
2139,9
2140,7
2141,0
2142,2
2143,2
2144,5
2145,9
2146,2
2147,2
2148,2
2149,2
2150,0
2151,6
2152,2
2153,5
2154,2
2155,2
2156,7
2157,4
2158,2
2159,9
2160,2
2161,2
2162,2
2163,7
2164,6
2165,2
2166,2
2167,9
2168,2
2169,2
2170,6
2171,7
2172,2
2173,6
2174,2
2175,9
2176,2
2177,2
2178,2
2179,2
2180,2
2181,2
2182,2
2183,5
2184,4
2185,2
2186,2
2187,2
2188,7
2189,2
2190,2
2191,5
2192,2
2193,6
2194,5
2195,2
2196,2
2197,7
2198,4
2199,2
2200,2
2201,6
2202,2
2203,0
2204,2
2205,4
2206,9
2207,2
2208,4
2209,6
2210,0
2211,2
2212,6
2213,2
2214,2
2215,2
2216,2
2217,0
2218,2
2219,0
2220,2
2221,9
2222,7
2223,6
2224,2
2225,0
2226,7
2227,0
2228,7
2229,4
2230,2
2231,4
2232,5
2233,2
2234,2
2235,2
2236,9
2237,2
2238,0
2239,3
2240,2
2241,0
2242,3
2243,2
2244,2
2245,9
2246,2
2247,2
2248,9
2249,2
2250,2
2251,5
2252,2
2253,2
2254,6
2255,6
2256,0
2257,2
2258,2
2259,2
2260,2
2261,2
2262,2
2263,2
2264,0
2265,7
2266,0
2267,0
2268,9
2269,2
2270,2
2271,7
2272,9
2273,0
2274,9
2275,5
2276,2
2277,2
2278,0
2279,2
2280,4
2281,0
2282,6
2283,9
2284,2
2285,6
2286,2
2287,9
2288,4
2289,2
2290,7
2291,2
2292,9
2293,3
2294,9
2295,2
2296,6
2297,6
2298,9
2299,2
2300,7
2301,2
2302,2
2303,3
2304,6
2305,2
2306,9
2307,2
2308,2
2309,2
2310,2
2311,2
2312,9
2313,2
2314,5
2315,2
2316,4
2317,2
2318,2
2319,2
2320,5
2321,6
2322,2
2323,5
2324,2
2325,7
2326,9
2327,7
2328,9
2329,2
2330,2
2331,2
2332,9
2333,2
2334,2
2335,2
2336,2
2337,2
2338,2
2339,6
2340,2
2341,2
2342,0
2343,6
2344,0
2345,2
2346,0
2347,2
2348,0
2349,2
2350,5
2351,2
2352,2
2353,0
2354,2
2355,2
2356,2
2357,2
2358,2
2359,5
2360,9
2361,2
2362,9
2363,2
2364,2
2365,2
2366,2
2367,2
2368,4
2369,4
2370,4
2371,2
2372,5
2373,2
2374,9
2375,0
2376,0
2377,2
2378,9
2379,2
2380,5
2381,2
2382,4
2383,0
2384,0
2385,2
2386,2
2387,2
2388,7
2389,2
2390,2
2391,7
2392,7
2393,2
2394,2
2395,9
2396,2
2397,6
2398,0
2399,3
2400,0
2401,2
2402,2
2403,2
2404,5
2405,9
2406,2
2407,2
2408,2
2409,2
2410,3
2411,2
2412,9
2413,2
2414,0
2415,6
2416,2
2417,2
2418,0
2419,2
2420,9
2421,2
2422,2
2423,2
2424,2
2425,2
2426,5
2427,2
2428,2
2429,2
2430,6
2431,2
2432,7
2433,9
2434,6
2435,4
2436,0
2437,9
2438,2
2439,9
2440,2
2441,0
2442,0
2443,2
2444,2
2445,2
2446,2
2447,9
2448,2
2449,2
2450,2
2451,5
2452,2
2453,2
2454,4
2455,6
2456,5
2457,2
2458,2
2459,6
2460,2
2461,6
2462,2
2463,2
2464,2
2465,2
2466,7
2467,9
2468,2
2469,3
2470,2
2471,2
2472,2
2473,2
2474,9
2475,9
2476,2
2477,2
2478,9
2479,2
2480,2
2481,2
2482,7
2483,9
2484,6
2485,4
2486,6
2487,2
2488,2
2489,6
2490,9
2491,9
2492,2
2493,4
2494,2
2495,2
2496,9
2497,6
2498,2
2499,2
2500,2
2501,2
2502,2
2503,6
2504,2
2505,2
2506,2
2507,0
2508,2
2509,2
2510,9
2511,5
2512,0
2513,9
2514,0
2515,2
2516,2
2517,2
2518,2
2519,7
2520,2
2521,0
2522,9
2523,5
2524,2
2525,2
2526,5
2527,2
2528,2
2529,2
2530,9
2531,3
2532,2
2533,2
2534,2
2535,5
2536,0
2537,0
2538,9
2539,8
2540,2
2541,9
2542,2
2543,0
2544,5
2545,9
2546,3
2547,2
2548,4
2549,2
2550,2
2551,2
2552,2
2553,2
2554,2
2555,0
2556,2
2557,9
2558,2
2559,0
2560,2
2561,2
2562,5
2563,2
2564,6
2565,2
2566,2
2567,7
2568,0
2569,2
2570,2
2571,6
2572,5
2573,2
2574,5
2575,2
2576,2
2577,3
2578,2
2579,2
2580,2
2581,2
2582,2
2583,2
2584,2
2585,2
2586,3
2587,2
2588,2
2589,0
2590,2
2591,6
2592,2
2593,6
2594,2
2595,2
2596,0
2597,3
2598,5
2599,0
2600,0
2601,2
2602,2
2603,7
2604,2
2605,0
2606,7
2607,2
2608,2
2609,2
2610,2
2611,2
2612,2
2613,2
2614,6
2615,2
2616,2
2617,2
2618,2
2619,2
2620,2
2621,2
2622,6
2623,2
2624,2
2625,2
2626,5
2627,6
2628,2
2629,9
2630,3
2631,4
2632,2
2633,2
2634,2
2635,6
2636,2
2637,5
2638,0
2639,0
2640,4
2641,2
2642,9
2643,2
2644,9
2645,9
2646,6
2647,2
2648,3
2649,3
2650,6
2651,5
2652,0
2653,9
2654,0
2655,0
2656,2
2657,9
2658,2
2659,2
2660,2
2661,0
2662,6
2663,2
2664,2
2665,2
2666,0
2667,2
2668,2
2669,2
2670,2
2671,2
2672,2
2673,2
2674,2
2675,5
2676,6
2677,4
2678,0
2679,2
2680,8
2681,5
2682,5
2683,9
2684,8
2685,2
2686,7
2687,6
2688,6
2689,2
2690,5
2691,7
2692,2
2693,2
2694,3
2695,0
2696,2
2697,6
2698,2
2699,9
2700,2
2701,9
2702,2
2703,5
2704,6
2705,2
2706,2
2707,0
2708,9
2709,6
2710,2
2711,5
2712,2
2713,2
2714,9
2715,0
2716,2
2717,6
2718,2
2719,9
2720,0
2721,2
2722,7
2723,2
2724,2
2725,2
2726,3
2727,2
2728,2
2729,9
2730,6
2731,0
2732,2
2733,2
2734,9
2735,5
2736,5
2737,3
2738,2
2739,8
2740,2
2741,5
2742,2
2743,7
2744,2
2745,7
2746,2
2747,0
2748,6
2749,6
2750,8
2751,2
2752,2
2753,2
2754,2
2755,9
2756,6
2757,2
2758,2
2759,2
2760,4
2761,2
2762,4
2763,2
2764,2
2765,2
2766,9
2767,2
2768,2
2769,2
2770,2
2771,2
2772,2
2773,4
2774,2
2775,0
2776,2
2777,2
2778,0
2779,9
2780,2
2781,2
2782,2
2783,2
2784,2
2785,2
2786,1
2787,2
2788,3
2789,6
2790,2
2791,6
2792,2
2793,7
2794,6
2795,2
2796,9
2797,9
2798,6
2799,2
2800,6
2801,6
2802,4
2803,6
2804,2
2805,2
2806,2
2807,6
2808,7
2809,6
2810,2
2811,4
2812,9
2813,6
2814,2
2815,3
2816,2
2817,2
2818,4
2819,2
2820,2
2821,2
2822,2
2823,7
2824,6
2825,2
2826,2
2827,6
2828,2
2829,6
2830,2
2831,7
2832,2
2833,9
2834,2
2835,2
2836,2
2837,2
2838,2
2839,2
2840,2
2841,2
2842,6
2843,4
2844,0
2845,6
2846,9
2847,4
2848,0
2849,2
2850,4
2851,2
2852,2
2853,2
2854,2
2855,2
2856,0
2857,2
2858,2
2859,2
2860,2
2861,2
2862,2
2863,2
2864,2
2865,0
2866,2
2867,9
2868,4
2869,2
2870,0
2871,2
2872,2
2873,6
2874,0
2875,9
2876,6
2877,6
2878,9
2879,2
